Aff3	Aff3
Lonrf2	Lonrf2
Chst10	Chst10
Pdcl3	Pdcl3
Npas2	Npas2
Rpl31	Rpl31
Tbc1d8	Tbc1d8
D1Bwg0212e	D1Bwg0212e
Rnf149	Rnf149
Gm3646	Gm3646
Map4k4	Map4k4
Il1r1	Il1r1
Il1rl2	Il1rl2
Il1rl1	Il1rl1
Il18r1	Il18r1
Mfsd9	Mfsd9
Tmem182	Tmem182
Mrps9	Mrps9
Tgfbrap1	Tgfbrap1
AI597479	AI597479
Fhl2	Fhl2
Nck2	Nck2
1500015O10Rik	1500015O10Rik
Uxs1	Uxs1
Tpp2	Tpp2
1700029F09Rik	1700029F09Rik
Kdelc1	Kdelc1
Bivm	Bivm
Ercc5	Ercc5
Gulp1	Gulp1
Col3a1	Col3a1
Col5a2	Col5a2
Wdr75	Wdr75
Slc40a1	Slc40a1
Dnahc7b	Dnahc7b
Slc39a10	Slc39a10
Tmeff2	Tmeff2
Sdpr	Sdpr
Obfc2a	Obfc2a
Myo1b	Myo1b
Stat4	Stat4
Stat1	Stat1
Gls	Gls
Nab1	Nab1
Tmem194b	Tmem194b
Mfsd6	Mfsd6
Inpp1	Inpp1
Hibch	Hibch
1700019D03Rik	1700019D03Rik
Pms1	Pms1
Ormdl1	Ormdl1
Osgepl1	Osgepl1
Asnsd1	Asnsd1
Stk17b	Stk17b
Hecw2	Hecw2
Gtf3c3	Gtf3c3
Pgap1	Pgap1
Ankrd44	Ankrd44
Sf3b1	Sf3b1
Coq10b	Coq10b
Hspd1	Hspd1
Hspe1	Hspe1
Mob4	Mob4
Rftn2	Rftn2
Mars2	Mars2
Plcl1	Plcl1
1700066M21Rik	1700066M21Rik
1110034B05Rik	1110034B05Rik
9430016H08Rik	9430016H08Rik
Spats2l	Spats2l
Kctd18	Kctd18
Sgol2	Sgol2
Aox1	Aox1
Aox3	Aox3
Bzw1	Bzw1
Clk1	Clk1
Ppil3	Ppil3
Nif3l1	Nif3l1
Orc2	Orc2
Fam126b	Fam126b
Ndufb3	Ndufb3
Gm20257	Gm20257
Cflar	Cflar
Casp8	Casp8
Trak2	Trak2
Stradb	Stradb
Als2cr4	Als2cr4
Als2	Als2
Cdk15	Cdk15
Fzd7	Fzd7
Sumo1	Sumo1
Nop58	Nop58
Bmpr2	Bmpr2
Fam117b	Fam117b
Wdr12	Wdr12
